Pharma Model,Num Feature,Fit,Norm Fit,zscore,Num Hydrophobic,Num HB Acceptor,Num HB Donor,Num Positive,Num Negative,Num Aromatic,Name,Class,Gene Names,Uniplot,Function,Disease,Idication
1og5_v,6,2.667,0.4444,0.076602,3,3,0,0,0,0,Cytochrome P450 2C9,ELECTRON TRANSPORT,PDE5A PDE5,CP2C9_HUMAN,"Cytochromes P450 are a group of heme-thiolate monooxygenases. In liver microsomes, this enzyme is involved in an NADPH-dependent electron transport pathway. It oxidizes a variety of structurally unrelated compounds, including steroids, fatty acids, and xe",NONE,NONE
1qcf_v,7,3.108,0.444,0.725472,3,3,1,0,0,0,Tyrosine-protein kinase HCK,TYROSINE KINASE,AKR1C3 DDH1 HSD17B5 KIAA0119 PGFS,HCK_HUMAN,May serve as part of a signaling pathway coupling the Fc receptor to the activation of the respiratory burst. May also contribute to neutrophil migration and may regulate the degranulation process of neutrophils.,NONE,NONE
1of7_v,5,2.214,0.4428,-0.82468,2,1,2,0,0,0,"Aldehyde dehydrogenase, mitochondrial",OXIDOREDUCTASE,HSPA8 HSC70 HSP73 HSPA10,ALDH2_HUMAN,NONE,NONE,NONE
1mmq_v,5,2.213,0.4425,-0.81548,1,2,2,0,0,0,Matrilysin,METALLOPROTEASE,TYMS TS OK/SW-cl.29,MMP7_HUMAN,"Degrades casein, gelatins of types I, III, IV, and V, and fibronectin. Activates procollagenase.",NONE,NONE
1t9s_v,7,3.094,0.442,1.37194,0,4,2,0,1,0,"cGMP-specific 3,5-cyclic phosphodiesterase",HYDROLASE,CDK7 CAK CAK1 CDKN7 MO15 STK1,PDE5A_HUMAN,Plays a role in signal transduction by regulating the intracellular concentration of cyclic nucleotides. This phosphodiesterase catalyzes the specific hydrolysis of cGMP to 5- GMP.,NONE,Anal fissure;Raynauds disease;Cardiac failure;Thrombosis;Diabetic complication;Prostate hyperplasia;Erectile dysfunction;Urinary tract disease;Female sexual dysfunction;Vascular disease;Viral infection;Cancer;Atherosclerosis;Pulmonary disease;Metabolic disorder;Hypertension;Cardiovascular disease;Pulmonary hypertension;Angina;Male sexual dysfunction
1s1p_v,5,2.172,0.4345,-1.16378,3,2,0,0,0,0,Aldo-keto reductase family 1 member C3,OXIDOREDUCTASE,RBP4 PRO2222,AK1C3_HUMAN,"Catalyzes the conversion of aldehydes and ketones to alcohols. Catalyzes the reduction of prostaglandin (PG) D2, PGH2 and phenanthrenequinone (PQ) and the oxidation of 9-alpha,11-beta- PGF2 to PGD2. Functions as a bi-directional 3-alpha-, 17-beta- and 20-",NONE,NONE
3fzl_v,5,2.171,0.4343,-0.83714,1,3,1,0,0,0,Heat shock cognate 71 kDa protein,NONE,CSNK2A1 CK2A1,P11142,"Molecular chaperone implicated in a wide variety of cellular processes, including protection of the proteome from stress, folding and transport of newly synthesized polypeptides, activation of proteolysis of misfolded proteins and the formation and dissociation of protein complexes. Plays a pivotal role in the protein quality control system, ensuring the correct folding of proteins, the re-folding of misfolded proteins and controlling the targeting of proteins for subsequent degradation (PubMed:21150129, PubMed:21148293, PubMed:24732912, PubMed:27916661, PubMed:23018488). This is achieved through cycles of ATP binding, ATP hydrolysis and ADP release, mediated by co-chaperones (PubMed:21150129, PubMed:21148293, PubMed:24732912, PubMed:27916661, PubMed:23018488). The co-chaperones have been shown to not only regulate different steps of the ATPase cycle of HSP70, but they also have an individual specificity such that one co-chaperone may promote folding of a substrate while another may promote degradation (PubMed:21150129, PubMed:21148293, PubMed:24732912, PubMed:27916661, PubMed:23018488). The affinity of HSP70 for polypeptides is regulated by its nucleotide bound state. In the ATP-bound form, it has a low affinity for substrate proteins. However, upon hydrolysis of the ATP to ADP, it undergoes a conformational change that increases its affinity for substrate proteins. HSP70 goes through repeated cycles of ATP hydrolysis and nucleotide exchange, which permits cycles of substrate binding and release. The HSP70-associated co-chaperones are of three types: J-domain co-chaperones HSP40s (stimulate ATPase hydrolysis by HSP70), the nucleotide exchange factors (NEF) such as BAG1/2/3 (facilitate conversion of HSP70 from the ADP-bound to the ATP-bound state thereby promoting substrate release), and the TPR domain chaperones such as HOPX and STUB1 (PubMed:24318877, PubMed:27474739, PubMed:24121476, PubMed:26865365). Acts as a repressor of transcriptional activation. Inhibits the transcriptional coactivator activity of CITED1 on Smad-mediated transcription. Component of the PRP19-CDC5L complex that forms an integral part of the spliceosome and is required for activating pre-mRNA splicing. May have a scaffolding role in the spliceosome assembly as it contacts all other components of the core complex. Binds bacterial lipopolysaccharide (LPS) and mediates LPS-induced inflammatory response, including TNF secretion by monocytes (PubMed:10722728, PubMed:11276205). Participates in the ER-associated degradation (ERAD) quality control pathway in conjunction with J domain-containing co-chaperones and the E3 ligase STUB1 (PubMed:23990462).",NONE,NONE
1ju6_v,6,2.604,0.434,0.054382,2,2,1,0,1,0,Thymidylate synthase,TRANSFERASE,EPHA2 ECK,TYSY_HUMAN,NONE,NONE,Small-cell lung cancer;Solid tumor;Breast tumor;Head and neck tumor;Brain tumor;Neoplasm;Hepatocellular carcinoma;Ovary tumor;Prostate tumor;Pancreas tumor;Urinary tract tumor;Stomach tumor;Retinopathy;Bladder tumor;Colon tumor;Cancer;Mesothelioma;Non-small-cell lung cancer;Cholangiocarcinoma;Gastrointestinal tumor;Liver tumor;Lung tumor;Colorectal tumor;Uterine cervix tumor;Carcinoma;Biliary tumor;Gallbladder disease;Keratosis
1ua2_v,8,3.469,0.4337,2.43411,1,3,1,0,3,0,Cell division protein kinase 7,NONE,STAT1,P50613,Involved in protein kinase activity,NONE,NONE
1qab_v,6,2.599,0.4332,-0.27922,5,0,1,0,0,0,Retinol-binding protein 4,TRANSPORT PROTEIN,ELANE ELA2,RET4_HUMAN,"Delivers retinol from the liver stores to the peripheral tissues. In plasma, the RBP-retinol complex interacts with transthyretin, this prevents its loss by filtration through the kidney glomeruli.","Defects in RBP4 are a cause of retinol-binding protein deficiency [MIM:180250]. This condition causes night vision problems. It produces a typical fundus xerophthalmicus, featuring a progressed atrophy of the retinal pigment epithelium.;A deficiency of vitamin A blocks secretion of the binding protein post-translationally and results in defective delivery and supply of vitamin to the epidermal cells (a condition associated with a dermatosis).",NONE
1jwh_v,5,2.156,0.4312,-0.90288,0,1,2,0,2,0,Casein kinase II subunit alpha,NONE,SYK,P68400,Involved in protein kinase activity,NONE,Being investigated for the treatment of Herpes labialis infections (cold sores).
1mqb_v,7,3.016,0.4308,1.14146,0,3,3,0,1,0,Ephrin type-A receptor 2,TRANSFERASE,PPCDC COAC MDS018 UNQ9365/PRO34154,EPHA2_HUMAN,"Receptor for members of the ephrin-A family. Binds to ephrin-A1, -A3, -A4 and -A5.",NONE,Cytomegalovirus infection;Metastasis;Cancer;Solid tumor
1yvl_v,8,3.429,0.4286,2.73716,1,4,2,1,0,0,Signal transducer and activator of transcription 1-alpha/beta,SIGNALING PROTEIN,SRM SPS1 SRML1,STAT1_HUMAN,"Signal transducer and activator of transcription that mediates signaling by interferons (IFNs). Following type I IFN (IFN-alpha and IFN-beta) binding to cell surface receptors, Jak kinases (TYK2 and JAK1) are activated, leading to tyrosine phosphorylation","Defects in STAT1 are the cause of STAT1 deficiency [MIM:600555]. Patients generally suffer from mycobacterial or viral diseases. In the case of complete deficiency, patients can die of viral disease.;Defects in STAT1 are a cause of mendelian susceptibility to mycobacterial disease (MSMD) [MIM:209950]; also known as familial disseminated atypical mycobacterial infection. This rare condition confers predisposition to illness caused by moderately virulent mycobacterial species, such as Bacillus Calmette-Guerin (BCG) vaccine and environmental non-tuberculous mycobacteria, and by the more virulent Mycobacterium tuberculosis. Other microorganisms rarely cause severe clinical disease in individuals with susceptibility to mycobacterial infections, with the exception of Salmonella which infects less than 50% of these individuals. The pathogenic mechanism underlying MSMD is the impairment of interferon-gamma mediated immunity whose severity determines the clinical outcome. Some patients die of overwhelming mycobacterial disease with lepromatous-like lesions in early childhood, whereas others develop, later in life, disseminated but curable infections with tuberculoid granulomas. MSMD is a genetically heterogeneous disease with autosomal recessive, autosomal dominant or X-linked inheritance.",Respiratory disease;Asthma
1h1b_v,6,2.57,0.4283,-0.18486,3,3,0,0,0,0,Leukocyte elastase,HYDROLASE(SERINE PROTEASE),LGALS2,ELNE_HUMAN,"Modifies the functions of natural killer cells, monocytes and granulocytes. Inhibits C5a-dependent neutrophil enzyme release and chemotaxis.","Defects in ELA2 are a cause of cyclic haematopoiesis (CH) [MIM:162800]; also known as cyclic neutropenia. CH is an autosomal dominant disease in which blood-cell production from the bone marrow oscillates with 21-day periodicity. Circulating neutrophils vary between almost normal numbers and zero. During intervals of neutropenia, affected individuals are at risk for opportunistic infection. Monocytes, platelets, lymphocytes and reticulocytes also cycle with the same frequency.;Defects in ELA2 are the cause of autosomal dominant severe congenital neutropenia type 1 (SCN1) [MIM:202700]. Severe congenital neutropenia is a heterogeneous disorder of hematopoiesis characterized by a maturation arrest of granulopoiesis at the level of promyelocytes with peripheral blood absolute neutrophil counts below 0.5 x 10(9)/l and early onset of severe bacterial infections.",Blood clotting disorder;Chronic bronchitis;Lung injury;Cerebrovascular ischemia;Emphysema;Respiratory disease;Cystic fibrosis;Chronic obstructive pulmonary disease;Myocardial infarction;Lung inflammation;Pulmonary fibrosis;Psoriasis;Pancreatitis;Bronchitis;Rheumatoid arthritis;Arthritis;Pulmonary disease;Lung tumor;Respiratory distress syndrome;Transplant rejection;Pulmonary hypertension;Pneumonia;Inflammation
1xbc_v,5,2.137,0.4275,-1.37197,3,1,1,0,0,0,Tyrosine-protein kinase SYK,TRANSFERASE,THRA EAR7 ERBA1 NR1A1 THRA1 THRA2,KSYK_HUMAN,"Positive effector of BCR-stimulated responses. Couples the B-cell antigen receptor (BCR) to the mobilization of calcium ion either through a phosphoinositide 3-kinase-dependent pathway, when not phosphorylated on tyrosines of the linker region, or through",NONE,Systemic lupus erythematosus;Asthma;Rheumatoid arthritis;Allergy;Allergic rhinitis;Inflammation;Thrombocytopenic purpura;Acute myelogenous leukemia;Lymphoma
2f57_v,5,2.13,0.426,-0.99229,3,1,1,0,0,0,Serine/threonine-protein kinase PAK 7,TRANSFERASE,DHODH,PAK7_HUMAN,The activated kinase acts on a variety of targets (By similarity).,NONE,NONE
1qzu_v,7,2.97,0.4243,1.34877,1,3,2,0,1,0,Phosphopantothenoylcysteine decarboxylase,NONE,PLA2G2A PLA2B PLA2L RASF-A,Q96CD2,Involved in catalytic activity,NONE,NONE
1zdz_v,7,2.958,0.4226,1.01844,0,3,2,2,0,0,Spermidine synthase,NONE,UCK2 UMPK,P19623,Amino acid transport and metabolism,NONE,"S-Adenosylmethionine (SAMe) is used as a drug in Europe for the treatment of depression, liver disorders, fibromyalgia, and osteoarthritis. It has also been introduced into the United States market as a dietary supplement for the support of bone and joint health, as well as mood and emotional well being."
1hlc_v,6,2.531,0.4218,-0.04737,0,3,3,0,0,0,Galectin-2,LECTIN,MMP13,LEG2_HUMAN,This protein binds beta-galactoside. Its physiological function is not yet known.,NONE,NONE
1nav_v,7,2.95,0.4215,0.283433,4,2,1,0,0,0,Thyroid hormone receptor alpha,NONE,ARSA,P10827,Involved in transcription factor activity,NONE,"Used as replacement or supplemental therapy in patients with hypothyroidism of any etiology, except transient hypothyrodism during the recovery phase of subacute thyroiditis."
1d3h_v,6,2.525,0.4209,-0.35864,3,3,0,0,0,0,"Dihydroorotate dehydrogenase, mitochondrial",OXIDOREDUCTASE,GNPDA1 GNPI HLN KIAA0060,PYRD_HUMAN,NONE,NONE,NONE
1db5_v,7,2.945,0.4207,0.871878,3,2,1,0,1,0,"Phospholipase A2, membrane associated",NONE,FABP6 ILBP ILLBP,P14555,Involved in phospholipase A2 activity,NONE,NONE
1uej_v,6,2.509,0.4182,-0.2481,1,3,2,0,0,0,Uridine-cytidine kinase 2,NONE,DCK,Q9BZX2,Nucleotide transport and metabolism,NONE,NONE
1fls_v,6,2.507,0.4178,-0.78041,4,1,1,0,0,0,Collagenase 3,HYDROLASE,GSTT2B GSTT2,MMP13_HUMAN,Degrades collagen type I. Does not act on gelatin or casein. Could have a role in tumoral process.,Defects in MMP13 are the cause of spondyloepimetaphyseal dysplasia type 2 (SEMD2) [MIM:602111]; also known as spondyloepimetaphyseal dysplasia type Missouri. SEMDs are a heterogeneous group of skeletal disorders characterized by defective growth and modeling of the spine and long bones. The SEMDs are distinguished from the spondylometaphyseal dysplasias and the spondyloepiphyseal dysplasias by the combined involvement of the epiphyses and metaphyses. The 3 disorders have malformations of the vertebrae in common.,NONE
1e2s_v,6,2.502,0.4171,-0.10846,1,2,2,0,1,0,Arylsulfatase A,HYDROLASE,SHMT1,ARSA_HUMAN,Hydrolyzes cerebroside sulfate.,"Defects in ARSA are a cause of metachromatic leukodystrophy (MLD) [MIM:250100]. MLD is a disease characterized by intralysosomal storage of cerebroside-3-sulfate, as well as in the myelin membranes. Whereas storage occurs in many cells, the disease almost exclusively affects oligodendrocytes. Patients suffer from a progressive demyelination, which causes a variety of neurological symptoms, including gait disturbances, ataxias, optical atrophy, dementia, seizures, and spastic tetraparesis. Several years after the onset of the disease, patients die in a decerebrated state. Three forms of the disease can be distinguished according to the age at onset: late-infantile, juvenile and adult.;Arylsulfatase A activity is defective in multiple sulfatase deficiency (MSD) [MIM:272200]. MSD is a disorder characterized by decreased activity of all known sulfatases. MSD is due to defects in SUMF1 resulting in the lack of post- translational modification of a highly conserved cysteine into 3- oxoalanine. It combines features of individual sulfatase deficiencies such as metachromatic leukodystrophy, mucopolysaccharidosis, chondrodysplasia punctata, hydrocephalus, ichthyosis, neurologic deterioration and developmental delay.",Metachromatic leukodystrophy
1ne7_v,7,2.911,0.4158,0.946781,0,4,3,0,0,0,Glucosamine-6-phosphate isomerase,NONE,XIAP API3 BIRC4 IAP3,P46926,Carbohydrate transport and metabolism,NONE,NONE
1o1v_v,7,2.9,0.4143,0.113152,5,1,1,0,0,0,Gastrotropin,LIPID BINDING PROTEIN,DTYMK CDC8 TMPK TYMK,FABP6_HUMAN,Ileal protein which stimulates gastric acid and pepsinogen secretion. Seems to be able to bind to bile salts and bilirubins.,NONE,NONE
1p5z_v,5,2.071,0.4142,-1.05749,1,1,3,0,0,0,Deoxycytidine kinase,TRANSFERASE,CLK1 CLK,DCK_HUMAN,"Required for the phosphorylation of the deoxyribonucleosides deoxycytidine (dC), deoxyguanosine (dG) and deoxyadenosine (dA). It is also an essential enzyme for the phosphorylation of numerous nucleoside analogs widely employed as antiviral and chemothera",NONE,NONE
1ljr_v,7,2.897,0.4138,0.656974,1,3,1,1,1,0,Glutathione S-transferase theta-2,TRANSFERASE,HAGH GLO2 HAGH1,GSTT2_HUMAN,Conjugation of reduced glutathione to a wide number of exogenous and endogenous hydrophobic electrophiles. Has a sulfatase activity.,NONE,NONE
1bj4_v,6,2.481,0.4135,-0.1382,2,4,0,0,0,0,"Serine hydroxymethyltransferase, cytosolic",TRANSFERASE,MMP16 C8orf57 MMPX2,GLYC_HUMAN,Interconversion of serine and glycine.,NONE,NONE
3eyl_v,8,3.297,0.4122,2.20695,1,2,2,2,0,1,Baculoviral IAP repeat-containing protein 4,NONE,FGFR2 BEK KGFR KSAM,P98170,Involved in caspase inhibition and apoptosis suppression,NONE,NONE
1nmx_v,7,2.877,0.411,0.565708,1,4,1,0,1,0,Thymidylate kinase,TRANSFERASE,TPH1 TPH TPRH TRPH,KTHY_HUMAN,Catalyzes the conversion of dTMP to dTDP.,NONE,NONE
1z57_v,7,2.876,0.4109,0.756267,0,5,1,1,0,0,Dual specificity protein kinase CLK1,TRANSFERASE,ESRRG ERR3 ERRG2 KIAA0832 NR3B3,CLK1_HUMAN,"Phosphorylates serine- and arginine-rich (SR) proteins of the spliceosomal complex may be a constituent of a network of regulatory mechanisms that enable SR proteins to control RNA splicing. Phosphorylates serines, threonines and tyrosines (By similarity)",NONE,Toxicity;Metabolic disorder;Neurodegenerative disease;Cancer;Cardiovascular disease
1qh5_v,7,2.869,0.4099,0.834052,0,4,1,0,2,0,"Hydroxyacylglutathione hydrolase, mitochondrial",NONE,MET,Q16775,Involved in hydrolase activity,NONE,"For nutritional supplementation, also for treating dietary shortage or imbalance"
1rm8_v,8,3.274,0.4092,1.57252,1,2,4,0,0,1,Matrix metalloproteinase-16,HYDROLASE,EPHX2,MMP16_HUMAN,"Endopeptidase that degrades various components of the extracellular matrix, such as collagen type III and fibronectin. Activates progelatinase A. Involved in the matrix remodeling of blood vessels. The short isoform cleaves fibronectin and also collagen t",NONE,NONE
1oec_v,5,2.041,0.4081,-2.17495,3,1,0,1,0,0,Fibroblast growth factor receptor 2,NONE,KIT SCFR,P21802,Involved in protein kinase activity,NONE,For treatment of mucositis (mouth sores)
1mlw_v,7,2.853,0.4076,0.289159,1,4,2,0,0,0,Tryptophan 5-hydroxylase 1,OXIDOREDUCTASE,F11,TPH1_HUMAN,NONE,NONE,NONE
1vjb_v,6,2.433,0.4055,-0.56235,4,0,1,1,0,0,Estrogen-related receptor gamma,TRANSCRIPTION,ADK,ERR3_HUMAN,Orphan receptor that acts as transcription activator in the absence of bound ligand. Binds specifically to an estrogen response element and activates reporter genes controlled by estrogen response elements (By similarity).,NONE,NONE
1r0p_v,6,2.426,0.4044,-0.96096,4,2,0,0,0,0,Hepatocyte growth factor receptor,TRANSFERASE,ACAT1 ACAT MAT,MET_HUMAN,"Receptor for hepatocyte growth factor and scatter factor. Has a tyrosine-protein kinase activity. Functions in cell proliferation, scattering, morphogenesis and survival.","Activation of MET after rearrangement with the TPR gene produces an oncogenic protein.;Defects in MET may be associated with gastric cancer.;Defects in MET are a cause of hepatocellular carcinoma (HCC) [MIM:114550].;Defects in MET are a cause of hereditary papillary renal carcinoma (HPRC) [MIM:605074]; also known as papillary renal cell carcinoma 2 (RCCP2). HPRC is a form of inherited kidney cancer characterized by a predisposition to develop multiple, bilateral papillary renal tumors. The pattern of inheritance is consistent with autosomal dominant transmission with reduced penetrance.;Genetic variations in MET may be associated with susceptibility to autism type 9 (AUTS9) [MIM:611015]. Autism is a neurodevelopmental disorder characterized by disturbance in language, perception and socialization. The disorder is classically defined by a triad of limited or absent verbal communication, a lack of reciprocal social interaction or responsiveness, and restricted, stereotypical, and ritualized patterns of interests and behavior.","Alopecia, drug-induced;Mucositis;Cancer;Glioma;Metastasis;Renal cell carcinoma;Head and neck tumor;Brain tumor;Pancreas tumor;Solid tumor;Stomach tumor"
1vj5_v,5,2.017,0.4035,-1.76611,3,1,1,0,0,0,Epoxide hydrolase 2,HYDROLASE,PDPK1 PDK1,HYES_HUMAN,"Acts on epoxides (alkene oxides, oxiranes) and arene oxides. Plays a role in xenobiotic metabolism by degrading potentially toxic epoxides. Also determines steady-state levels of physiological mediators. Has low phosphatase activity.",NONE,NONE
1pkg_v,7,2.812,0.4017,0.55563,0,2,3,0,2,0,Mast/stem cell growth factor receptor,TRANSFERASE ACTIVATOR,IMPDH1 IMPD1,KIT_HUMAN,This is the receptor for stem cell factor (mast cell growth factor). It has a tyrosine-protein kinase activity. Binding of the ligands leads to the autophosphorylation of KIT and its association with substrates such as phosphatidylinositol 3-kinase (Pi3K),Defects in KIT are a cause of piebaldism [MIM:172800]. Piebaldism is an autosomal dominant genetic developmental abnormality of pigmentation characterized by congenital patches of white skin and hair that lack melanocytes.;Defects in KIT are a cause of gastrointestinal stromal tumor (GIST) [MIM:606764].;Defects in KIT have been associated with testicular tumors [MIM:273300]. It includes germ cell tumor (GCT) or testicular germ cell tumor (TGCT).,Pancreas tumor;Ovary tumor;Cancer;Mastocytosis;Gastrointestinal tumor
1zpb_v,8,3.188,0.3985,1.55907,3,3,1,1,0,0,Coagulation factor XI,HYDROLASE,KDR FLK1 VEGFR2,FA11_HUMAN,Factor XI triggers the middle phase of the intrinsic pathway of blood coagulation by activating factor IX.,Defects in F11 are the cause of F11 deficiency [MIM:264900]; also called plasma thromboplastin antecedent deficiency or Rosenthal syndrome. It is a blood coagulation abnormality occurring in high frequency in Ashkenazi jews. F11- deficient patients are prone to excessive bleeding after haemostatic challenge.,Thrombosis
1bx4_v,8,3.188,0.3984,0.425574,0,6,2,0,0,0,Adenosine kinase,TRANSFERASE,PLEKHA4 PEPP1,ADK_HUMAN,ATP dependent phosphorylation of adenosine and other related nucleoside analogs to monophosphate derivatives. Serves as a potential regulator of concentrations of extracellular adenosine and intracellular adenine nucleotides.,NONE,"Septic shock;Pain;Inflammation;Seizure disorder;Seizure, epilepsy & convulsion;Epilepsy;Anesthesia"
2f2s_v,8,3.187,0.3983,2.01199,1,3,3,0,1,0,"Acetyl-CoA acetyltransferase, mitochondrial",NONE,HSD17B1 E17KSR EDH17B1 EDH17B2 EDHB17 SDR28C1,P24752,Plays a major role in ketone body metabolism.,NONE,NONE
1uu7_v,7,2.786,0.398,0.335629,3,2,1,1,0,0,3-phosphoinositide-dependent protein kinase 1,TRANSFERASE,FABP4,PDPK1_HUMAN,"Phosphorylates and activates not only PKB/AKT, but also PKA, PKC-zeta, RPS6KA1 and RPS6KB1. May play a general role in signaling processes and in development (By similarity). Isoform 3 is catalytically inactive.",NONE,NONE
1jcn_v,7,2.777,0.3967,0.094653,0,5,1,0,1,0,Inosine-5-monophosphate dehydrogenase 1,OXIDOREDUCTASE,SETD7 KIAA1717 KMT7 SET7 SET9,IMDH1_HUMAN,Rate limiting enzyme in the de novo synthesis of guanine nucleotides and therefore is involved in the regulation of cell growth. It may also have a role in the development of malignancy and the growth progression of some tumors.,"Defects in IMPDH1 are the cause of retinitis pigmentosa type 10 (RP10) [MIM:180105]. RP leads to degeneration of retinal photoreceptor cells. Patients typically have night vision blindness and loss of midperipheral visual field. As their condition progresses, they lose their far peripheral visual field and eventually central vision as well. RP10 inheritance is autosomal dominant.",NONE
3c7q_v,7,2.776,0.3966,0.406673,3,1,0,2,1,0,Vascular endothelial growth factor receptor 2,NONE,RHOA ARH12 ARHA RHO12,P35968,"Tyrosine-protein kinase that acts as a cell-surface receptor for VEGFA, VEGFC and VEGFD. Plays an essential role in the regulation of angiogenesis, vascular development, vascular permeability, and embryonic hematopoiesis. Promotes proliferation, survival, migration and differentiation of endothelial cells. Promotes reorganization of the actin cytoskeleton. Isoforms lacking a transmembrane domain, such as isoform 2 and isoform 3, may function as decoy receptors for VEGFA, VEGFC and/or VEGFD. Isoform 2 plays an important role as negative regulator of VEGFA- and VEGFC-mediated lymphangiogenesis by limiting the amount of free VEGFA and/or VEGFC and preventing their binding to FLT4. Modulates FLT1 and FLT4 signaling by forming heterodimers. Binding of vascular growth factors to isoform 1 leads to the activation of several signaling cascades. Activation of PLCG1 leads to the production of the cellular signaling molecules diacylglycerol and inositol 1,4,5-trisphosphate and the activation of protein kinase C. Mediates activation of MAPK1/ERK2, MAPK3/ERK1 and the MAP kinase signaling pathway, as well as of the AKT1 signaling pathway. Mediates phosphorylation of PIK3R1, the regulatory subunit of phosphatidylinositol 3-kinase, reorganization of the actin cytoskeleton and activation of PTK2/FAK1. Required for VEGFA-mediated induction of NOS2 and NOS3, leading to the production of the signaling molecule nitric oxide (NO) by endothelial cells. Phosphorylates PLCG1. Promotes phosphorylation of FYN, NCK1, NOS3, PIK3R1, PTK2/FAK1 and SRC.",NONE,NONE
1upr_v,7,2.735,0.3907,0.18164,0,4,0,0,3,0,Pleckstrin homology domain-containing family A member 4,NONE,CD209 CLEC4L,Q9H4M7,Cell wall/membrane/envelope biogenesis,NONE,NONE
1dht_v,6,2.34,0.39,-1.10428,4,0,2,0,0,0,Estradiol 17-beta-dehydrogenase 1,NONE,RNASE2 EDN RNS2,P14061,Lipid transport and metabolism,NONE,"Some evidence suggests that NADH might be useful in treating Parkinsons disease, chronic fatigue syndrome, Alzheimers disease and cardiovascular disease."
1tou_v,6,2.334,0.389,-0.56496,2,3,0,0,0,1,"Fatty acid-binding protein, adipocyte",LIPID TRANSPORT,NMNAT1 NMNAT,FABP4_HUMAN,Lipid transport protein in adipocytes. Binds both long chain fatty acids and retinoic acid. Delivers long-chain fatty acids and retinoic acid to their cognate receptors in the nucleus (By similarity).,NONE,Non-insulin dependent diabetes
1mt6_v,7,2.719,0.3885,0.349075,2,2,2,0,1,0,Histone-lysine N-methyltransferase SETD7,TRANSFERASE,HPRT1 HPRT,SETD7_HUMAN,Histone methyltransferase that specifically monomethylates Lys-4 of histone H3. H3 Lys-4 methylation represents a specific tag for epigenetic transcriptional activation. Plays a central role in the transcriptional activation of genes such as collagena,NONE,NONE
1a2b_v,6,2.33,0.3883,-0.23031,0,4,2,0,0,0,Transforming protein RhoA,NONE,MMP1 CLG,P61586,Involved in GTP binding,NONE,For the treatment of hypercholesterolemia.
1h0c_v,7,2.714,0.3876,-0.0975,2,2,1,0,1,1,Serine--pyruvate aminotransferase,TRANSFERASE,CDC42,SPYA_HUMAN,NONE,"Defects in AGXT are the cause of primary hyperoxaluria type I (PH1) [MIM:259900]; also known as oxalosis I. PH1 is a rare autosomal recessive inborn error of glyoxylate metabolism characterized by increased excretion of oxalate and glycolate, and the progressive accumulation of insoluble calcium oxalate in the kidney and urinary tract.",Hyperoxaluria
1sl4_v,8,3.097,0.3872,2.07161,0,5,3,0,0,0,CD209 antigen,SUGAR BINDING PROTEIN,GSTM1 GST1,CD209_HUMAN,Pathogen-recognition receptor expressed on the surface of immature dendritic cells (DCs) and involved in initiation of primary immune response. Thought to mediate the endocytosis of pathogens which are subsequently degraded in lysosomal compartments. The ;On DCs it is a high affinity receptor for ICAM2 and ICAM3 by binding to mannose-like carbohydrates. May act as a DC rolling receptor that mediates transendothelial migration of DC presursors from blood to tissues by binding endothelial ICAM2. Seems to reg,NONE,NONE
1hi3_v,9,3.483,0.387,1.53147,0,5,1,0,2,1,Non-secretory ribonuclease,NONE,KYAT1 CCBL1,P10153,Involved in nucleic acid binding,NONE,NONE
1gzu_v,7,2.702,0.386,0.03522,1,4,1,0,1,0,Nicotinamide mononucleotide adenylyltransferase 1,NONE,HINT1 HINT PKCI1 PRKCNH1,Q9HAN9,Coenzyme transport and metabolism,NONE,NONE
1hmp_v,9,3.473,0.3858,1.55115,0,6,3,0,0,0,Hypoxanthine-guanine phosphoribosyltransferase,NONE,BLVRB FLR SCAN,P00492,Nucleotide transport and metabolism,NONE,For remission induction and remission consolidation treatment of acute nonlymphocytic leukemias.
1hfc_v,8,3.081,0.3851,0.995456,1,3,4,0,0,0,Interstitial collagenase,NONE,SELE ELAM1,P03956,"Cleaves collagens of types I, II, and III at one site in the helical domain. Also cleaves collagens of types VII and X (PubMed:2557822, PubMed:2153297, PubMed:1645757). In case of HIV infection, interacts and cleaves the secreted viral Tat protein, leading to a decrease in neuronal Tat's mediated neurotoxicity (PubMed:16807369).",NONE,NONE
1a4r_v,8,3.075,0.3843,0.766016,0,5,2,0,1,0,Cell division control protein 42 homolog,HYDROLASE,FKBP1A FKBP1 FKBP12,CDC42_HUMAN,Plasma membrane-associated small GTPase which cycles between an active GTP-bound and an inactive GDP-bound state. In active state binds to a variety of effector proteins to regulate cellular responses. Involved in epithelial cell polarization processes. C,NONE,NONE
1yj6_v,9,3.443,0.3825,2.2414,1,3,2,1,2,0,Glutathione S-transferase Mu 1,TRANSFERASE,PAPSS1 ATPSK1 PAPSS,GSTM1_HUMAN,Conjugation of reduced glutathione to a wide number of exogenous and endogenous hydrophobic electrophiles.,NONE,NONE
1w7n_v,6,2.29,0.3817,-1.22771,1,2,1,1,1,0,Kynurenine--oxoglutarate transaminase 1,TRANSFERASE,JAK3,KAT1_HUMAN,Catalyzes the irreversible transamination of the L- tryptophan metabolite L-kynurenine to form kynurenic acid (KA). Metabolizes the cysteine conjugates of certain halogenated alkenes and alkanes to form reactive metabolites. Catalyzes the beta- eliminatio,NONE,NONE
